No,S_ZZ
1,118
2,229
3,314
4,354
5,383
6,392
7,404
8,414
9,424
10,435
11,442
12,449
13,457
14,464
15,457
16,445
17,425
18,405
19,379
20,349
21,321
22,285
23,243
24,203
25,174
26,116
27,88
28,45
29,14
30,-7
31,-19
32,-33
33,-39
34,-41
35,-42
36,-43
37,-28
38,5
39,29
40,70
41,125
42,188
43,240
44,287
45,329
46,372
47,416
48,445
49,470
50,481
51,490
52,493
53,486
54,483
55,470
56,446
57,421
58,379
59,339
60,293
