No,S_TZ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,8
16,21
17,36
18,51
19,67
20,81
21,90
22,101
23,111
24,116
25,119
26,111
27,104
28,85
29,59
30,33
31,0
32,-34
33,-60
34,-86
35,-101
36,-112
37,-130
38,-150
39,-163
40,-171
41,-180
42,-184
43,-181
44,-171
45,-163
46,-137
47,-109
48,-84
49,-51
50,-30
51,-9
52,13
53,31
54,47
55,69
56,87
57,105
58,124
59,139
60,150
