No,S_TT
1,57
2,92
3,123
4,139
5,157
6,164
7,176
8,185
9,194
10,205
11,213
12,218
13,226
14,230
15,254
16,271
17,282
18,291
19,299
20,304
21,310
22,315
23,320
24,322
25,327
26,336
27,339
28,349
29,358
30,363
31,361
32,354
33,347
34,340
35,331
36,322
37,321
38,308
39,308
40,309
41,299
42,294
43,287
44,279
45,271
46,268
47,266
48,262
49,258
50,262
51,269
52,271
53,275
54,286
55,294
56,304
57,318
58,332
59,336
60,346
