No,EPTO_ZZ
1,0.050
2,0.100
3,0.150
4,0.190
5,0.250
6,0.290
7,0.350
8,0.400
9,0.470
10,0.550
11,0.610
12,0.660
13,0.720
14,0.775
15,0.770
16,0.765
17,0.758
18,0.749
19,0.738
20,0.723
21,0.710
22,0.692
23,0.670
24,0.644
25,0.624
26,0.574
27,0.550
28,0.500
29,0.450
30,0.410
31,0.375
32,0.340
33,0.310
34,0.280
35,0.255
36,0.242
37,0.228
38,0.231
39,0.246
40,0.269
41,0.300
42,0.340
43,0.380
44,0.420
45,0.460
46,0.500
47,0.550
48,0.590
49,0.640
50,0.672
51,0.705
52,0.730
53,0.746
54,0.760
55,0.770
56,0.770
57,0.763
58,0.748
59,0.730
60,0.708
