No,EPTO_TT
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.017
16,0.028
17,0.039
18,0.050
19,0.060
20,0.070
21,0.082
22,0.098
23,0.117
24,0.139
25,0.151
26,0.193
27,0.214
28,0.256
29,0.298
30,0.332
31,0.360
32,0.383
33,0.410
34,0.440
35,0.460
36,0.475
37,0.501
38,0.510
39,0.518
40,0.522
41,0.520
42,0.515
43,0.510
44,0.500
45,0.492
46,0.481
47,0.470
48,0.461
49,0.449
50,0.445
51,0.441
52,0.438
53,0.440
54,0.445
55,0.451
56,0.462
57,0.479
58,0.500
59,0.515
60,0.540
