No,EPTO_TT
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.041
11,0.093
12,0.121
13,0.145
14,0.192
15,0.239
16,0.280
17,0.323
18,0.350
19,0.390
20,0.419
21,0.444
22,0.472
23,0.504
24,0.520
25,0.548
26,0.580
27,0.607
28,0.649
29,0.710
30,0.746
31,0.788
32,0.843
33,0.890
34,0.945
35,0.995
36,1.043
37,1.083
38,1.105
39,1.140
40,1.170
41,1.192
42,1.228
43,1.253
44,1.300
45,1.356
46,1.410
47,1.450
48,1.498
49,1.545
50,1.598
51,1.650
52,1.699
53,1.740
54,1.772
55,1.802
