No,EPTO_ZZ
1,0.050
2,0.100
3,0.140
4,0.200
5,0.290
6,0.370
7,0.440
8,0.500
9,0.560
10,0.553
11,0.540
12,0.530
13,0.520
14,0.500
15,0.480
16,0.465
17,0.450
18,0.445
19,0.440
20,0.446
21,0.455
22,0.470
23,0.490
24,0.500
25,0.520
26,0.540
27,0.550
28,0.560
29,0.550
30,0.540
31,0.525
32,0.500
33,0.480
34,0.460
35,0.445
36,0.440
37,0.450
38,0.460
39,0.480
40,0.500
41,0.520
42,0.540
43,0.550
44,0.560
45,0.550
46,0.535
47,0.520
48,0.500
49,0.480
50,0.460
51,0.445
52,0.440
53,0.450
54,0.465
55,0.485
