No,S_TT
1,45
2,85
3,113
4,141
5,160
6,173
7,184
8,191
9,198
10,282
11,337
12,357
13,371
14,390
15,404
16,413
17,420
18,421
19,424
20,429
21,432
22,437
23,444
24,446
25,452
26,456
27,461
28,467
29,479
30,483
31,487
32,494
33,498
34,502
35,503
36,507
37,513
38,516
39,519
40,521
41,524
42,526
43,528
44,535
45,540
46,545
47,548
48,551
49,554
50,557
51,559
52,561
53,565
54,568
55,569
