No,S_TT
1,43
2,76
3,108
4,133
5,155
6,173
7,187
8,201
9,215
10,227
11,314
12,364
13,380
14,403
15,422
16,437
17,450
18,463
19,476
20,486
21,490
22,492
23,496
24,498
25,502
26,505
27,506
28,511
29,515
30,520
31,524
32,530
33,533
34,535
35,538
36,542
37,548
38,552
39,553
40,548
41,549
42,552
43,559
44,566
45,571
46,575
47,581
48,581
49,581
50,579
51,580
52,581
53,585
54,589
55,590
56,593
57,596
58,598
59,600
60,603
61,605
62,606
63,606
64,608
65,613
