No,EPTO_ZZ
1,0.050
2,0.100
3,0.150
4,0.200
5,0.250
6,0.300
7,0.350
8,0.420
9,0.500
10,0.600
11,0.595
12,0.585
13,0.575
14,0.560
15,0.540
16,0.520
17,0.500
18,0.480
19,0.460
20,0.440
21,0.425
22,0.415
23,0.405
24,0.400
25,0.405
26,0.415
27,0.430
28,0.450
29,0.470
30,0.500
31,0.520
32,0.540
33,0.560
34,0.575
35,0.585
36,0.595
37,0.600
38,0.595
39,0.585
40,0.575
41,0.560
42,0.540
43,0.520
44,0.500
45,0.480
46,0.460
47,0.440
48,0.425
49,0.415
50,0.405
51,0.400
52,0.405
53,0.415
54,0.430
55,0.450
56,0.470
57,0.485
58,0.500
59,0.520
60,0.540
61,0.555
62,0.570
63,0.580
64,0.590
65,0.600
