No,S_TZ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,13
12,37
13,61
14,73
15,72
16,65
17,56
18,43
19,27
20,13
21,-6
22,-25
23,-48
24,-57
25,-63
26,-68
27,-74
28,-70
29,-63
30,-50
31,-43
32,-33
33,-22
34,-13
35,-4
36,4
37,17
38,32
39,45
40,63
41,70
42,69
43,61
44,49
45,40
46,30
47,14
48,-4
49,-21
50,-45
51,-60
52,-69
53,-74
54,-74
55,-70
56,-65
57,-60
58,-52
59,-43
60,-34
61,-25
62,-17
63,-9
64,0
65,18
