No,S_ZZ
1,121
2,221
3,300
4,345
5,376
6,395
7,409
8,426
9,441
10,457
11,437
12,401
13,366
14,327
15,299
16,271
17,249
18,232
19,213
20,206
21,200
22,198
23,200
24,209
25,228
26,245
27,267
28,297
29,326
30,361
31,379
32,394
33,404
34,412
35,415
36,410
37,401
38,379
39,354
40,333
41,309
42,281
43,263
44,247
45,234
46,224
47,217
48,213
49,213
50,219
51,232
52,249
53,275
54,298
55,324
56,352
57,367
58,382
59,399
60,413
61,423
62,431
63,432
64,433
65,419
