Strain,Stress
0.00006,13
0.00038,77
0.00075,153
0.00123,255
0.00135,272
0.00143,286
0.00158,304
0.00187,327
0.00225,345
0.00300,362
0.00450,381
0.00600,396
0.00750,410
0.01050,436
0.01500,470
0.02100,511
0.02400,527
0.03000,555
0.04500,603
0.06000,633
0.09070,662
