Stress  
 0.0000000E+00
 0.0000000E+00
 0.8303854E+02
 0.1436947E+03
 0.2043509E+03
 0.2650071E+03
 0.3124577E+03
 0.3557513E+03
 0.3764185E+03
 0.3712873E+03
 0.3724178E+03
 0.3835725E+03
 0.4021397E+03
 0.4090121E+03
 0.4097435E+03
 0.4295359E+03
 0.4465509E+03
 0.4615882E+03
 0.4627068E+03
 0.4020507E+03
 0.2742474E+03
 0.1753174E+03
 0.5400500E+02
-0.6730737E+02
-0.1662374E+03
-0.2638125E+03
-0.3031696E+03
-0.3194576E+03
-0.3356369E+03
-0.3474940E+03
-0.3582904E+03
-0.3717101E+03
-0.3885406E+03
-0.4123927E+03
-0.4268446E+03
-0.4430127E+03
