No,EPTO_ZZ
1,0.006
2,0.038
3,0.075
4,0.123
5,0.135
6,0.143
7,0.158
8,0.187
9,0.225
10,0.3
11,0.45
12,0.6
13,0.75
14,1.05
15,1.5
16,2.1
17,2.4
18,3.0
19,4.5
20,6.0
21,9.07
