No,EPTO_TT
1,-0.002
2,-0.011
3,-0.021
4,-0.036
5,-0.04
6,-0.045
7,-0.051
8,-0.062
9,-0.077
10,-0.11
11,-0.178
12,-0.25
13,-0.325
14,-0.47
15,-0.69
16,-1.0
17,-1.15
18,-1.43
19,-2.1
20,-2.75
21,-3.96
