No,EPTO_TZ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.031
12,0.060
13,0.095
14,0.119
15,0.124
16,0.129
17,0.130
18,0.128
19,0.121
20,0.115
21,0.114
22,0.092
23,0.066
24,0.060
25,0.040
26,0.021
27,0
28,-0.035
29,-0.055
30,-0.070
31,-0.080
32,-0.099
33,-0.113
34,-0.124
35,-0.126
36,-0.130
37,-0.125
38,-0.116
39,-0.105
40,-0.090
41,-0.075
42,-0.060
43,-0.044
44,-0.030
45,0
46,0.020
47,0.045
48,0.065
49,0.086
50,0.100
51,0.110
52,0.120
53,0.128
54,0.129
55,0.130
56,0.124
57,0.119
58,0.109
59,0.090
60,0.072
61,0.055
62,0.038
63,0.020
64,0
65,-0.016
66,-0.033
67,-0.050
68,-0.073
69,-0.075
70,-0.088
71,-0.100
72,-0.112
73,-0.125
74,-0.130
75,-0.129
76,-0.128
77,-0.120
78,-0.110
79,-0.098
80,-0.082
81,-0.066
82,-0.045
83,-0.026
84,0
85,0.034
86,0.050
87,0.075
88,0.090
89,0.108
90,0.120
91,0.125
92,0.129
93,0.130
94,0.128
95,0.126
96,0.120
97,0.110
98,0.083
99,0.053
100,0.020
101,0
102,0.039
103,0.020
104,-0.001
105,-0.020
106,-0.040
107,-0.057
108,-0.073
109,-0.090
110,-0.114
111,-0.120
112,-0.129
113,-0.130
114,-0.126
115,-0.112
116,-0.100
117,-0.081
118,-0.066
119,-0.047
120,-0.030
121,-0.015
122,0
