No,EPTO_TT
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0.041
12,0.079
13,0.135
14,0.190
15,0.220
16,0.250
17,0.281
18,0.310
19,0.340
20,0.376
21,0.403
22,0.430
23,0.459
24,0.480
25,0.508
26,0.530
27,0.552
28,0.590
29,0.610
30,0.625
31,0.632
32,0.646
33,0.660
34,0.670
35,0.678
36,0.688
37,0.700
38,0.710
39,0.720
40,0.734
41,0.749
42,0.760
43,0.770
44,0.785
45,0.811
46,0.833
47,0.865
48,0.892
49,0.922
50,0.950
51,0.965
52,0.990
53,1.025
54,1.050
55,1.100
56,1.150
57,1.180
58,1.205
59,1.230
60,1.265
61,1.290
62,1.315
63,1.335
64,1.360
65,1.385
66,1.400
67,1.415
68,1.430
69,1.436
70,1.449
71,1.464
72,1.475
73,1.481
74,1.492
75,1.500
76,1.510
77,1.520
78,1.530
79,1.540
80,1.550
81,1.560
82,1.580
83,1.592
84,1.619
85,1.650
86,1.676
87,1.700
88,1.730
89,1.765
90,1.793
91,1.822
92,1.855
93,1.885
94,1.915
95,1.943
96,1.975
97,2.008
98,2.029
99,2.050
100,2.070
101,2.100
102,2.120
103,2.140
104,2.170
105,2.190
106,2.210
107,2.228
108,2.245
109,2.260
110,2.280
111,2.290
112,2.300
113,2.310
114,2.323
115,2.340
116,2.351
117,2.360
118,2.370
119,2.386
120,2.399
121,2.411
122,2.427
