No,S_TT
1,70
2,97
3,121
4,148
5,172
6,195
7,205
8,221
9,240
10,246
11,316
12,357
13,396
14,417
15,424
16,434
17,449
18,456
19,460
20,463
21,467
22,467
23,467
24,467
25,463
26,463
27,470
28,476
29,481
30,483
31,484
32,485
33,486
34,486
35,486
36,487
37,492
38,495
39,496
40,500
41,500
42,500
43,503
44,508
45,511
46,517
47,521
48,525
49,525
50,525
51,525
52,525
53,532
54,536
55,543
56,545
57,545
58,541
59,541
60,540
61,541
62,541
63,544
64,546
65,549
66,549
67,551
68,553
69,554
70,556
71,558
72,562
73,558
74,558
75,561
76,561
77,561
78,562
79,562
80,566
81,566
82,567
83,568
84,574
85,582
86,582
87,582
88,582
89,583
90,585
91,586
92,589
93,593
94,598
95,599
96,599
97,599
98,597
99,590
100,590
101,590
102,586
103,590
104,590
105,595
106,599
107,599
108,602
109,603
110,607
111,607
112,607
113,608
114,615
115,615
116,615
117,608
118,608
119,607
120,607
121,606
122,603
