No,S_ZZ
1,142
2,228
3,298
4,353
5,392
6,421
7,431
8,451
9,471
10,480
11,454
12,415
13,347
14,285
15,255
16,259
17,207
18,191
19,168
20,149
21,136
22,127
23,119
24,115
25,108
26,113
27,120
28,149
29,176
30,199
31,216
32,247
33,277
34,307
35,330
36,363
37,391
38,413
39,435
40,446
41,452
42,454
43,457
44,454
45,443
46,429
47,405
48,379
49,347
50,324
51,307
52,279
53,252
54,232
55,200
56,174
57,162
58,144
59,133
60,119
61,118
62,118
63,119
64,120
65,142
66,156
67,172
68,191
69,210
70,231
71,257
72,288
73,317
74,347
75,371
76,391
77,421
78,442
79,459
80,478
81,487
82,492
83,488
84,479
85,453
86,440
87,410
88,387
89,351
90,325
91,293
92,267
93,245
94,228
95,209
96,190
97,179
98,163
99,151
100,142
101,138
102,131
103,132
104,137
105,147
106,168
107,188
108,211
109,238
110,285
111,314
112,343
113,364
114,401
115,444
116,465
117,483
118,495
119,503
120,504
121,499
122,488
