No,EPTO_ZZ
1,0.060
2,0.100
3,0.140
4,0.180
5,0.240
6,0.330
7,0.370
8,0.460
9,0.580
10,0.650
11,0.645
12,0.630
13,0.600
14,0.560
15,0.540
16,0.520
17,0.500
18,0.480
19,0.460
20,0.440
21,0.420
22,0.405
23,0.390
24,0.380
25,0.370
26,0.360
27,0.352
28,0.360
29,0.370
30,0.380
31,0.390
32,0.410
33,0.430
34,0.450
35,0.470
36,0.500
37,0.530
38,0.550
39,0.570
40,0.590
41,0.610
42,0.620
43,0.630
44,0.640
45,0.650
46,0.648
47,0.640
48,0.632
49,0.615
50,0.600
51,0.590
52,0.570
53,0.550
54,0.530
55,0.500
56,0.470
57,0.450
58,0.430
59,0.410
60,0.390
61,0.380
62,0.370
63,0.360
64,0.352
65,0.350
66,0.355
67,0.360
68,0.370
69,0.378
70,0.390
71,0.400
72,0.420
73,0.440
74,0.462
75,0.480
76,0.500
77,0.530
78,0.540
79,0.570
80,0.590
81,0.610
82,0.630
83,0.638
84,0.650
85,0.648
86,0.640
87,0.630
88,0.620
89,0.600
90,0.580
91,0.560
92,0.540
93,0.520
94,0.500
95,0.480
96,0.460
97,0.440
98,0.420
99,0.410
100,0.400
101,0.380
102,0.370
103,0.360
104,0.355
105,0.350
106,0.355
107,0.360
108,0.372
109,0.385
110,0.410
111,0.430
112,0.450
113,0.470
114,0.500
115,0.540
116,0.560
117,0.580
118,0.600
119,0.620
120,0.630
121,0.640
122,0.645
