No,S_TZ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,26
17,73
18,105
19,146
20,165
21,176
22,181
23,193
24,193
25,190
26,187
27,181
28,172
29,159
30,142
31,123
32,99
33,77
34,52
35,26
36,0
37,-28
38,-58
39,-84
40,-105
41,-121
42,-138
43,-152
44,-172
45,-186
46,-193
47,-198
48,-203
49,-211
50,-213
51,-215
52,-216
53,-215
54,-211
55,-201
56,-189
57,-181
58,-166
59,-140
60,-112
61,-89
62,-68
63,-52
64,-36
65,-22
66,-13
67,0
68,10
69,28
70,49
71,67
72,78
73,90
74,116
75,138
76,168
77,193
78,198
79,202
80,215
81,224
82,220
83,211
84,205
85,190
86,178
87,163
88,148
89,125
90,99
91,80
92,52
93,23
94,-12
95,-33
96,-60
97,-86
98,-111
99,-136
100,-155
101,-175
102,-181
103,-189
104,-200
105,-206
106,-215
107,-222
108,-227
109,-232
110,-230
111,-226
112,-219
113,-215
114,-202
115,-192
116,-177
117,-150
118,-120
119,-96
120,-77
121,-68
122,-60
123,-47
124,-26
125,-10
126,4
127,22
128,45
129,63
130,82
131,99
132,112
133,123
