No,EPTO_TT
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0.013
17,0.033
18,0.049
19,0.065
20,0.090
21,0.110
22,0.130
23,0.160
24,0.190
25,0.219
26,0.245
27,0.268
28,0.305
29,0.348
30,0.385
31,0.425
32,0.460
33,0.504
34,0.545
35,0.580
36,0.610
37,0.642
38,0.674
39,0.700
40,0.730
41,0.751
42,0.770
43,0.792
44,0.815
45,0.831
46,0.844
47,0.854
48,0.859
49,0.864
50,0.870
51,0.864
52,0.860
53,0.858
54,0.853
55,0.845
56,0.838
57,0.825
58,0.810
59,0.795
60,0.781
61,0.770
62,0.755
63,0.750
64,0.745
65,0.740
66,0.730
67,0.728
68,0.724
69,0.720
70,0.727
71,0.731
72,0.735
73,0.740
74,0.749
75,0.761
76,0.782
77,0.807
78,0.828
79,0.845
80,0.866
81,0.895
82,0.925
83,0.965
84,1.007
85,1.040
86,1.070
87,1.100
88,1.133
89,1.171
90,1.210
91,1.242
92,1.283
93,1.315
94,1.355
95,1.389
96,1.422
97,1.450
98,1.480
99,1.508
100,1.530
101,1.555
102,1.568
103,1.580
104,1.595
105,1.605
106,1.610
107,1.619
108,1.625
109,1.620
110,1.615
111,1.612
112,1.603
113,1.593
114,1.585
115,1.576
116,1.570
117,1.561
118,1.550
119,1.539
120,1.525
121,1.517
122,1.504
123,1.498
124,1.489
125,1.480
126,1.475
127,1.473
128,1.470
129,1.477
130,1.484
131,1.492
132,1.500
133,1.505
