No,S_ZZ
1,116
2,231
3,303
4,338
5,363
6,389
7,409
8,422
9,436
10,444
11,455
12,466
13,476
14,456
15,437
16,414
17,383
18,353
19,317
20,289
21,266
22,239
23,208
24,179
25,164
26,151
27,137
28,126
29,113
30,100
31,96
32,87
33,81
34,76
35,75
36,72
37,74
38,77
39,86
40,100
41,127
42,154
43,188
44,229
45,257
46,278
47,312
48,346
49,376
50,410
51,437
52,455
53,475
54,486
55,493
56,500
57,498
58,496
59,490
60,482
61,471
62,450
63,430
64,411
65,394
66,374
67,357
68,337
69,306
70,286
71,270
72,247
73,225
74,197
75,174
76,140
77,124
78,111
79,97
80,86
81,81
82,79
83,72
84,75
85,76
86,84
87,94
88,115
89,139
90,164
91,191
92,218
93,249
94,274
95,298
96,299
97,348
98,380
99,400
100,430
101,446
102,472
103,498
104,512
