No,S_TZ
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,15
15,26
16,34
17,46
18,56
19,67
20,69
21,69
22,68
23,63
24,55
25,47
26,43
27,38
28,28
29,21
30,9
31,0
32,-13
33,-26
34,-41
35,-57
36,-69
37,-78
38,-87
39,-94
40,-102
41,-107
42,-114
43,-120
44,-122
45,-120
46,-116
47,-111
48,-103
49,-94
50,-77
51,-63
52,-50
53,-39
54,-30
55,-20
56,-9
57,-3
58,9
59,20
60,36
61,45
62,61
63,69
64,75
65,83
66,86
67,90
68,94
69,99
70,99
71,99
72,94
73,90
74,81
75,72
76,51
77,39
78,26
79,9
80,-13
81,-27
82,-43
83,-57
84,-70
85,-81
86,-93
87,-103
88,-113
89,-126
90,-129
91,-129
92,-131
93,-130
94,-129
95,-129
96,-121
97,-116
98,-105
99,-99
100,-86
101,-77
102,-60
103,-45
104,-34
