1,45
2,82
3,107
4,123
5,139
6,156
7,176
8,190
9,205
10,213
11,225
12,234
13,242
14,320
15,348
16,364
17,385
18,398
19,409
20,418
21,428
22,435
23,441
24,447
25,451
26,454
27,428
28,459
29,461
30,463
31,466
32,467
33,467
34,467
35,467
36,467
37,467
38,467
39,467
40,467
41,472
42,476
43,477
44,483
45,485
46,487
47,488
48,492
49,496
50,500
51,502
52,503
53,504
54,507
55,508
56,510
57,513
58,517
59,521
60,523
61,525
62,526
63,530
64,533
65,534
66,534
67,535
68,536
69,535
70,537
71,540
72,541
73,544
74,546
75,549
76,554
77,556
78,558
79,557
80,554
81,550
82,549
83,545
84,544
85,541
86,541
87,541
88,544
89,545
90,546
91,551
92,554
93,558
94,559
95,562
96,563
97,564
98,566
99,567
100,570
101,572
102,573
103,567
104,566
